date,category,indicator,value,source_file,sheet,orientation,source,parserVersion
11/2025,rates,Cho vay VND trung và dài hạn (cao nhất),0.089,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
11/2025,rates,Cho vay VND trung và dài hạn (thấp nhất),0.066,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
11/2025,rates,Lãi suất huy động bình quân trên 12 tháng (cao nhất),0.062,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
11/2025,rates,Lãi suất huy động bình quân trên 12 tháng (thấp nhất),0.049,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay USD ngắn hạn (cao nhất),0.05,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay USD ngắn hạn (thấp nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay USD trung và dài hạn (cao nhất),0.0,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay USD trung và dài hạn (thấp nhất),0.0,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay VND ngắn hạn (cao nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay VND ngắn hạn (thấp nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay VND trung và dài hạn (cao nhất),0.09,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Cho vay VND trung và dài hạn (thấp nhất),0.067,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Lãi suất huy động bình quân trên 12 tháng (cao nhất),0.064,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
12/2025,rates,Lãi suất huy động bình quân trên 12 tháng (thấp nhất),0.05,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay USD ngắn hạn (cao nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay USD ngắn hạn (thấp nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay USD trung và dài hạn (cao nhất),0.0,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay USD trung và dài hạn (thấp nhất),0.0,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay VND ngắn hạn (cao nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay VND ngắn hạn (thấp nhất),0.04,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay VND trung và dài hạn (cao nhất),0.094,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
2/2026,rates,Cho vay VND trung và dài hạn (thấp nhất),0.071,FiinProX_Lai suat thong ke cua NHNN_20266_20260605.xlsx,Sheet1,wide_table,FiinProX Excel Export,fiinprox_excel_v1
